"coffee_name","agtron_wb","roast_level","price_per_kg_usd"
"Colombia Pink Bourbon",64,"Light",120
"Kenya Kiambu Mandela Estate AA Washed Process",60,"Medium-Light",50.793650793650784
"Costa Rica Volcán Azul Geisha Yeast-Washed",62,"Light",115.2
"Ethiopia Yirgacheffe Adame G1 Natural",63,"Light",80.02645502645501
"Kenya Gichathaini",64,"Light",73.48834474852288
"Guatemala Retiro del Quisaya Natural Process",59,"Medium-Light",55.704165319380344
"Ethiopia Sidama Karamo Anaerobic Natural",62,"Medium-Light",102.88368264793205
"Colombia Geiner Montano",62,"Medium-Light",72.01857785355243
"Kabiufa Papua New Guinea",58,"Medium-Light",58.79067579881831
"Ka‘u Red Catuai Peaberry",59,"Medium-Light",264.55026455026456
"Ethiopia Kayon Mountain",64,"Light",61.58323289926217
"Panama Finca Las Nubes Geisha Microlot",60,"Medium-Light",66.13756613756614
"Guatemala El Milagro Bourbon Especial",60,"Medium-Light",82.30694611834564
"Costa Rica William Mora",65,"Light",82.30694611834564
"Ethiopia Duromina Agaro Gera",62,"Light",49.97207442899556
"Winter 2022 Allocation Colombia",62,"Light",293.9447383891828
"Laura’s Reserve SL34",60,"Medium-Light",308.4215167548501
"El Salvador 2022 COE#17 El Mirador Washed Gesha",58,"Medium-Light",145.5026455026455
"Panama ABU Washed Gesha Lot GW57",64,"Light",291.005291005291
"Guatemala Natural El General Bistro Lot Espresso",58,"Medium-Light",42.195767195767196
"Ethiopia 2022 COE#25 Natural Tadesse 74112",65,"Light",130.95238095238093
"Ethiopia Washed Sidama Rumudamo",64,"Light",56.74603174603174
"Lemon Sugar Wash",59,"Medium-Light",80.66666666666666
"Kenya Kiambu AA",60,"Medium-Light",95.33333333333333
"Colombia Geisha Allium",62,"Light",286.59611992945327
"Wilton Benitez Orange Bourbon",60,"Light",83.7742504409171
"Kayon Mountain Ethiopia",58,"Medium-Light",52.91160821893648
"Ethiopia Kochere Arefasa Washed G1",62,"Light",72.68722466960352
"Colombia Granja Paraíso Java P14",64,"Light",440.9171075837742
"El Salvador Finca El Retiro Sudan Rume Natural",62,"Medium-Light",69.56521739130434
"Ethiopia Hayissa Olocho Lot 6",61,"Light",95.23809523809523
"Nyeri Hill Kenya",58,"Medium-Light",64.66974337870015
"Ethiopia COE #8 Sidama Arbegona Muluneh Tute Galcho 74158 Natural",63,"Light",280.5
"Chelbessa Ethiopia",60,"Medium-Light",58.79067579881831
"Ka’u Tropical Punch",60,"Medium-Light",220.4585537918871
"Ethiopia Gesha Village Illubabor Forest Lot 22/043 (Single-Terroir) Natural Process",64,"Light",98.7
"Ethiopia Gera Genji Challa",59,"Medium-Light",82.30694611834564
"Kenya Gotomboya Peaberry",59,"Medium-Light",79.36741232840473
"Panama Hartmann Estate Chicho Gallo Amaro Gayo Natural BOP#1",60,"Medium-Light",181.2
"Kenya Ichamama",59,"Medium-Light",82.30694611834564
"Ethiopia Uchoro Nansebo Washed",60,"Light",79.36741232840473
"Nekisse Phantom Roasting",64,"Light",550.3333333333334
"Colombia Finca Samboni Gesha Anaerobic Natural",62,"Medium-Light",88.18601369822746
"Kambera Inari Roasting",62,"Light",448.73333333333335
"Colombia Don Correa Gesha",62,"Light",96.85763837855318
"Ethiopia BergWu Maker Series Yirgacheffe Wuri G1 Lot MW21/02",62,"Medium-Light",81.30000000000001
"Mexico Finca Santa Cruz COE#1b",64,"Light",632.5
"Wilton Benitez Geisha",59,"Medium-Light",110.22927689594356
"Colombia Cerro Azul Geisha",62,"Light",260.14109347442684
"Yirgacheffe Mengesha Natural",60,"Medium-Light",60.26044269378877
"Panama Geisha Finca Debra Symbiosis",62,"Light",396.8253968253968
"Panama Geisha Finca Debra Echo",64,"Light",200
"Ethiopia Hamasho Washed",62,"Light",73.48834474852288
"Ethiopia Idido Anaerobic Natural",61,"Medium-Light",117.57789535567314
"Mexico Cup of Excellence #7",62,"Light",117.58135159763663
"Ethiopia Reko Yirgacheffe",60,"Medium-Light",69.0790440636115
"Double-Anaerobic Fermentation Tamiru Tadesse",62,"Light",141.09347442680775
"Ethiopia Chelbesa Danche Yirgacheffe",60,"Medium-Light",70.54881095858197
"Ethiopia Honey Process Tamiru Tadesse",64,"Light",123.45679012345678
