"coffee_id","coffee_name","species_name","origin_country_name"
"C1","Colombia Pink Bourbon","Bourbon","Colombia"
"C2","Kenya Kiambu Mandela Estate AA Washed Process","SL28","Kenya"
"C2","Kenya Kiambu Mandela Estate AA Washed Process","SL34","Kenya"
"C3","Costa Rica Volcán Azul Geisha Yeast-Washed","Geisha","Costa Rica"
"C5","Kenya Gichathaini","SL28","Kenya"
"C5","Kenya Gichathaini","SL34","Kenya"
"C5","Kenya Gichathaini","Ruiru 11","Kenya"
"C6","Guatemala Retiro del Quisaya Natural Process","Pache","Guatemala"
"C6","Guatemala Retiro del Quisaya Natural Process","Bourbon","Guatemala"
"C6","Guatemala Retiro del Quisaya Natural Process","Typica","Guatemala"
"C7","Ethiopia Sidama Karamo Anaerobic Natural","Heirloom","Ethiopia"
"C9","Kabiufa Papua New Guinea","Bourbon","Papua New Guinea"
"C9","Kabiufa Papua New Guinea","Typica","Papua New Guinea"
"C10","Ka‘u Red Catuai Peaberry","Catuai","Hawaii"
"C11","Ethiopia Kayon Mountain","Landrace","Ethiopia"
"C12","Panama Finca Las Nubes Geisha Microlot","Geisha","Panama"
"C13","Guatemala El Milagro Bourbon Especial","Bourbon","Guatemala"
"C13","Guatemala El Milagro Bourbon Especial","Java","Guatemala"
"C14","Costa Rica William Mora","Caturra","Costa Rica"
"C16","Winter 2022 Allocation Colombia","Wush Wush","Colombia"
"C17","Laura’s Reserve SL34","SL28","Hawaii"
"C17","Laura’s Reserve SL34","SL34","Hawaii"
"C18","El Salvador 2022 COE#17 El Mirador Washed Gesha","Geisha","El Salvador"
"C19","Panama ABU Washed Gesha Lot GW57","Geisha","Panama"
"C20","Guatemala Natural El General Bistro Lot Espresso","Catuai","Guatemala"
"C20","Guatemala Natural El General Bistro Lot Espresso","Bourbon","Guatemala"
"C22","Ethiopia Washed Sidama Rumudamo","Heirloom","Ethiopia"
"C24","Kenya Kiambu AA","SL28","Kenya"
"C24","Kenya Kiambu AA","SL34","Kenya"
"C25","Colombia Geisha Allium","Geisha","Colombia"
"C26","Wilton Benitez Orange Bourbon","Bourbon","Colombia"
"C27","Kayon Mountain Ethiopia","Landrace","Ethiopia"
"C28","Ethiopia Kochere Arefasa Washed G1","Typica","Ethiopia"
"C29","Colombia Granja Paraíso Java P14","Java","Colombia"
"C34","Chelbessa Ethiopia","Landrace","Ethiopia"
"C36","Ethiopia Gesha Village Illubabor Forest Lot 22/043 (Single-Terroir) Natural Process","Geisha","Ethiopia"
"C37","Ethiopia Gera Genji Challa","Landrace","Ethiopia"
"C39","Panama Hartmann Estate Chicho Gallo Amaro Gayo Natural BOP#1","Landrace","Panama"
"C41","Ethiopia Uchoro Nansebo Washed","Landrace","Ethiopia"
"C43","Colombia Finca Samboni Gesha Anaerobic Natural","Geisha","Colombia"
"C44","Kambera Inari Roasting","Geisha","Panama"
