"coffee_name","roaster_name","roaster_city","roaster_country_name"
"Colombia Pink Bourbon","modcup","Jersey City","United States"
"Kenya Kiambu Mandela Estate AA Washed Process","Buon Caffe","Taipei","Taiwan"
"Kenya Kiambu Mandela Estate AA Washed Process","Buon Caffe","Taipei","Taiwan"
"Costa Rica Volcán Azul Geisha Yeast-Washed","Kafe Coffee Roastery","Zhubei","Taiwan"
"Kenya Gichathaini","Temple Coffee","Sacramento","United States"
"Kenya Gichathaini","Temple Coffee","Sacramento","United States"
"Kenya Gichathaini","Temple Coffee","Sacramento","United States"
"Guatemala Retiro del Quisaya Natural Process","Durango Coffee Company","Durango","Mexico"
"Guatemala Retiro del Quisaya Natural Process","Durango Coffee Company","Durango","Mexico"
"Guatemala Retiro del Quisaya Natural Process","Durango Coffee Company","Durango","Mexico"
"Ethiopia Sidama Karamo Anaerobic Natural","RamsHead Coffee Roasters","Bozeman","United States"
"Kabiufa Papua New Guinea","JBC Coffee Roasters","Madison","United States"
"Kabiufa Papua New Guinea","JBC Coffee Roasters","Madison","United States"
"Ka‘u Red Catuai Peaberry","Paradise Roasters","Hilo","United States"
"Ethiopia Kayon Mountain","Roadmap CoffeeWorks","Lexington","United States"
"Panama Finca Las Nubes Geisha Microlot","Vermont Artisan Coffee & Tea","Waterbury Center","United States"
"Guatemala El Milagro Bourbon Especial","PT's Coffee Roasting Co.","Topeka","United States"
"Guatemala El Milagro Bourbon Especial","PT's Coffee Roasting Co.","Topeka","United States"
"Costa Rica William Mora","Press Coffee","Phoenix","United States"
"Winter 2022 Allocation Colombia","Press Coffee","Phoenix","United States"
"Laura’s Reserve SL34","Hula Daddy Kona Coffee","Holualoa","United States"
"Laura’s Reserve SL34","Hula Daddy Kona Coffee","Holualoa","United States"
"El Salvador 2022 COE#17 El Mirador Washed Gesha","Kakalove Cafe","Chia-Yi","Taiwan"
"El Salvador 2022 COE#17 El Mirador Washed Gesha","Kakalove Cafe","Chia-Yi","Taiwan"
