coffee_ID,coffee_name,review_date,coffee_rating,agtron_WB,agtron_AG,aroma,acidity,body,flavor,aftertaste,roast_lv_id,roaster_name,roaster_ID,price_per_kg_USD
C1,Colombia Pink Bourbon,2023-03-01,95,64,82,9,9,9,9,9,RL2,modcup,R331,120.0
C2,Kenya Kiambu Mandela Estate AA Washed Process,2023-03-01,94,60,77,9,9,9,9,8,RL5,Buon Caffe,R38,50.793650793650784
C3,Costa Rica Volcán Azul Geisha Yeast-Washed,2023-03-01,94,62,80,9,9,9,9,8,RL2,Kafe Coffee Roastery,R154,115.2
C4,Ethiopia Yirgacheffe Adame G1 Natural,2023-03-01,94,63,79,9,9,9,9,8,RL2,Caoban Coffee,R56,80.02645502645501
C5,Kenya Gichathaini,2023-02-01,94,64,82,9,9,9,9,8,RL2,Temple Coffee,R290,73.48834474852288
C6,Guatemala Retiro del Quisaya Natural Process,2023-02-01,94,59,78,9,9,9,9,8,RL5,Durango Coffee Company,R97,55.704165319380344
C7,Ethiopia Sidama Karamo Anaerobic Natural,2023-02-01,94,62,79,9,9,9,9,8,RL5,RamsHead Coffee Roasters,R235,102.88368264793205
C8,Colombia Geiner Montano,2023-02-01,94,62,78,9,9,9,9,8,RL5,Temple Coffee,R290,72.01857785355243
C9,Kabiufa Papua New Guinea,2023-02-01,94,58,77,9,9,9,8,9,RL5,JBC Coffee Roasters,R147,58.79067579881831
C10,Ka‘u Red Catuai Peaberry,2023-02-01,94,59,74,9,9,9,9,8,RL5,Paradise Roasters,R215,264.55026455026456
C11,Ethiopia Kayon Mountain,2023-02-01,94,64,82,9,9,9,9,8,RL2,Roadmap CoffeeWorks,R243,61.58323289926217
C12,Panama Finca Las Nubes Geisha Microlot,2023-02-01,94,60,77,9,9,9,9,8,RL5,Vermont Artisan Coffee & Tea,R317,66.13756613756614
C13,Guatemala El Milagro Bourbon Especial,2023-01-01,95,60,78,9,9,9,9,9,RL5,PT's Coffee Roasting Co.,R212,82.30694611834564
C14,Costa Rica William Mora,2023-01-01,94,65,84,9,9,9,9,8,RL2,Press Coffee,R226,82.30694611834564
C15,Ethiopia Duromina Agaro Gera,2023-01-01,94,62,81,9,9,9,9,8,RL2,Northbound Coffee Roasters,R197,49.97207442899556
C16,Winter 2022 Allocation Colombia,2023-01-01,94,62,80,9,9,9,9,8,RL2,Press Coffee,R226,293.9447383891828
C17,Laura’s Reserve SL34,2023-01-01,96,60,80,9,9,9,10,9,RL5,Hula Daddy Kona Coffee,R142,308.4215167548501
C18,El Salvador 2022 COE#17 El Mirador Washed Gesha,2023-01-01,96,58,78,9,9,9,9,10,RL5,Kakalove Cafe,R156,145.5026455026455
C19,Panama ABU Washed Gesha Lot GW57,2023-01-01,95,64,84,9,9,9,9,9,RL2,Kakalove Cafe,R156,291.005291005291
C20,Guatemala Natural El General Bistro Lot Espresso,2023-01-01,94,58,76,9,9,9,8,9,RL5,Kakalove Cafe,R156,42.195767195767196
C21,Ethiopia 2022 COE#25 Natural Tadesse 74112,2023-01-01,94,65,84,9,9,9,9,8,RL2,Kakalove Cafe,R156,130.95238095238093
C22,Ethiopia Washed Sidama Rumudamo,2023-01-01,94,64,86,9,9,9,9,8,RL2,Kakalove Cafe,R156,56.74603174603174
C23,Lemon Sugar Wash,2023-01-01,95,59,77,9,9,9,9,9,RL5,Green Stone Coffee,R133,80.66666666666666
C24,Kenya Kiambu AA,2023-01-01,95,60,76,9,9,9,9,9,RL5,JH Roaster,R148,95.33333333333333
C25,Colombia Geisha Allium,2023-01-01,94,62,84,9,9,9,9,8,RL2,Nostalgia Coffee Roasters,R198,286.59611992945327
C26,Wilton Benitez Orange Bourbon,2023-01-01,96,60,82,9,9,10,10,8,RL2,JBC Coffee Roasters,R147,83.7742504409171
C27,Kayon Mountain Ethiopia,2023-01-01,94,58,78,9,9,9,9,8,RL5,JBC Coffee Roasters,R147,52.91160821893648
C28,Ethiopia Kochere Arefasa Washed G1,2023-01-01,94,62,80,9,9,9,9,8,RL2,Desolate Cafe,R88,72.68722466960352
C29,Colombia Granja Paraíso Java P14,2022-12-01,95,64,82,9,9,9,9,9,RL2,Paradise Roasters,R215,440.9171075837742
C30,El Salvador Finca El Retiro Sudan Rume Natural,2022-12-01,94,62,78,9,9,9,9,8,RL5,Interpretation Coffee,R146,69.56521739130434
C31,Ethiopia Hayissa Olocho Lot 6,2022-12-01,94,61,82,9,9,9,9,8,RL2,PERC Coffee Roasters,R210,95.23809523809523
