country_id,country_name
ctry1,Colombia
ctry2,Kenya
ctry3,Costa Rica
ctry4,Ethiopia
ctry5,Guatemala
ctry6,Papua New Guinea
ctry7,Hawaii
ctry8,Panama
ctry9,El Salvador
ctry10,Mexico
ctry11,Nicaragua
ctry12,Yemen
ctry13,Rwanda
ctry14,Ecuador
ctry15,Taiwan
ctry16,Peru
ctry17,Indonesia
ctry18,Bolivia
ctry19,Burundi
ctry20,Tanzania
ctry21,Honduras
ctry22,Brazil
ctry23,Africa
ctry24,Not disclosed
ctry25,Democratic Republic of the Congo
ctry26,Dominican Republic
ctry27,South America
ctry28,America
ctry29,Sumatra
ctry30,East Timor
ctry31,Congo
ctry32,Huehuetenango
ctry33,Asia Pacific
ctry34,China
ctry35,India
ctry36,East Africa
ctry37,
ctry38,United Kingdom
ctry39,United States
ctry40,Antigua and Barbuda
ctry41,Germany
ctry42,Canada
ctry43,Japan
ctry44,South Korea
ctry45,Israel
ctry46,Australia
ctry47,Greece
