coffee_ID,origin_id,coffee_origin_country_id
C1,O1,ctry1
C2,O2,ctry2
C3,O3,ctry3
C4,O4,ctry4
C5,O5,ctry2
C6,O6,ctry5
C7,O7,ctry4
C8,O8,ctry1
C9,O9,ctry6
C10,O10,ctry7
C11,O11,ctry4
C12,O12,ctry8
C13,O13,ctry5
C14,O14,ctry3
C15,O15,ctry4
C16,O16,ctry1
C17,O17,ctry7
C18,O18,ctry9
C19,O19,ctry8
C20,O20,ctry5
C21,O21,ctry4
C22,O22,ctry4
C23,O23,ctry4
C24,O24,ctry2
C25,O25,ctry1
C26,O26,ctry1
C27,O27,ctry4
C28,O28,ctry4
C29,O29,ctry1
C30,O30,ctry9
C31,O31,ctry4
C32,O32,ctry2
C33,O33,ctry4
C34,O34,ctry4
C35,O35,ctry7
C36,O36,ctry4
C37,O37,ctry4
C38,O38,ctry2
C39,O39,ctry8
C40,O40,ctry2
C41,O41,ctry4
C42,O42,ctry4
C43,O43,ctry1
C44,O44,ctry8
C45,O45,ctry1
C46,O46,ctry4
C47,O47,ctry10
C48,O48,ctry1
C49,O49,ctry1
C50,O50,ctry4
C51,O51,ctry8
C52,O52,ctry8
C53,O53,ctry4
C54,O54,ctry4
C55,O55,ctry10
C56,O56,ctry4
C57,O57,ctry4
C58,O58,ctry4
C59,O59,ctry4
C60,O60,ctry4
C61,O61,ctry4
C62,O62,ctry4
C63,O63,ctry11
C64,O64,ctry2
C65,O65,ctry12
C66,O66,ctry4
C67,O67,ctry4
C68,O68,ctry4
C69,O69,ctry4
C70,O70,ctry5
C71,O71,ctry1
C72,O72,ctry1
C73,O73,ctry13
C74,O74,ctry5
C75,O75,ctry5
C76,O76,ctry1
C77,O77,ctry1
C78,O78,ctry1
C79,O79,ctry4
C79,O80,ctry5
C79,O81,ctry9
C79,O82,ctry8
C79,O83,ctry3
C80,O84,ctry4
C81,O85,ctry1
C82,O86,ctry7
C83,O87,ctry3
C84,O88,ctry14
C85,O89,ctry4
C86,O90,ctry2
C86,O91,ctry3
C86,O92,ctry4
C87,O93,ctry6
C88,O94,ctry2
