roaster_name,roaster_ID
94 Fresh Coffee,R1
A.R.C.,R2
AHRIRE Roasting,R3
Allegro Coffee,R4
Alterra Coffee Roasters,R5
Amavida Coffee Roasters,R6
Ancora Coffee Roasters,R7
Angeles Roastery,R8
Another Beans Coffee Roasters,R9
Argyle Coffee Roasters,R10
Atom Coffee Roasters,R11
Atomic Cafe Coffee Roasters,R12
BEI Coffee Roasters,R13
BLK & Bold,R14
Bacca Cafe,R15
Bar Nine,R16
Bard Coffee,R17
Bargain Cafe,R18
Barismo,R19
Barrington Coffee Roasting,R20
Barrington Coffee Roasting Co.,R21
Batdorf & Bronson,R22
BeanFruit Coffee Co.,R23
Big Creek Coffee Roasters,R24
Big Island Coffee Roasters,R25
Big Nose Cafe,R26
Big Shoulders Coffee,R27
Bird Rock Coffee Roasters,R28
Black Coffee In Black Jar,R29
Black Coffee in Black Jar,R30
Blue Bottle Coffee,R31
Blues Brew Coffee,R32
Bona Kafo Roastery,R33
Bonfire Coffee Company,R34
Boon Boona Coffee,R35
Branch Street Coffee Roasters,R36
Brioso Coffee,R37
Buon Caffe,R38
Cadence Cold Brew Coffee,R39
Cafe Del Mundo,R40
Cafe Douceur,R41
Cafe Est,R42
Cafe Grumpy,R43
Cafe Kreyol,R44
Cafe Red Bean Shop,R45
Cafe Unido,R46
Cafe Virtuoso,R47
Cafe de Impression,R48
CafeTaster,R49
Caffe Luxxe,R50
Café Grumpy,R51
Café de Impression,R52
Cambria Coffee,R53
Campos Coffee,R54
Canterbury Coffee,R55
Caoban Coffee,R56
Caribou Coffee,R57
Ceremony Coffee Roasters,R58
ChacolaTAY,R59
Cherry Smile,R60
Cherry Smile Specialty Coffee,R61
Chocolate Fish Coffee Roasters,R62
Chromatic Coffee,R63
Cimarron Coffee Roasters,R64
Coastal Peaks Coffee,R65
Coava Coffee Roasters,R66
CofFeeling,R67
Coffea Roasterie,R68
Coffee By Design,R69
Coffee Cycle,R70
Coffee Dusk Roasters,R71
Coffee Factorial,R72
Coffee Please,R73
Coffee by Design,R74
Comestible Master Company,R75
Compelling & Rich,R76
Conscious Cup Coffee Roasters,R77
Corvus Coffee,R78
Corvus Coffee Roasters,R79
Counter Culture Coffee,R80
Cozy House Coffee,R81
Creation Food Co.,R82
Crescendo Coffee Roasters,R83
Crimson Cup Coffee & Tea,R84
DOMA Coffee Roasting Company,R85
Daktari Coffee,R86
David's Nose,R87
Desolate Cafe,R88
Difference Coffee,R89
Direct Coffee,R90
DoDo Kaffa,R91
Dory Coffee Roasters,R92
Dou Zhai Coffee & Roast,R93
Dragonfly Coffee Roasters,R94
Drink Coffee Do Stuff,R95
Duluth Coffee Company,R96
Durango Coffee Company,R97
Dávila Kafe,R98
EK Roast Studio,R99
El Gran Cafe,R100
El Gran Café,R101
Equator Coffees,R102
Equator Coffees & Teas,R103
Equiano Coffee,R104
Espresso Republic,R105
Euphora Coffee,R106
Evie's Cafe,R107
Evie’s Cafe,R108
Felala Coffee Lab,R109
Finca Las Nieves,R110
Finca Tasta,R111
Flight Coffee Co.,R112
Folly Coffee Roasters,R113
Four Barrel Coffee,R114
Fratello Coffee Roasters,R115
Fumi Coffee,R116
Fumi Coffee Company,R117
Future Factory,R118
GK Coffee,R119
Gavagai,R120
Geisha Coffee Roaster,R121
Genesis Coffee Lab,R122
George Howell Coffee Company,R123
Ghost Town Coffee Roasters,R124
Gimme! Coffee,R125
Giv COFFEE,R126
Giv Coffee,R127
"Good Chance Biotechnology, Ltd.",R128
Good Folks Coffee,R129
Gracenote Coffee Roasters,R130
Greater Goods Coffee Roasters,R131
Green Mountain Coffee,R132
Green Stone Coffee,R133
GreenAlives,R134
Greybox Coffee,R135
Hala Tree Kona Coffee,R136
Hatch Coffee,R137
Highwire Coffee Roasters,R138
Ho Soo Tsai,R139
Home in Harmony,R140
Hula Daddy,R141
Hula Daddy Kona Coffee,R142
Illuminista Coffee Roasters,R143
Indaba Coffee Roasters,R144
Intelligentsia Coffee,R145
Interpretation Coffee,R146
JBC Coffee Roasters,R147
JH Roaster,R148
JYL Cafe,R149
Jackrabbit Java,R150
Jaunt Coffee Roasters,R151
Joe Bean Roasters,R152
Joe Van Gogh Coffee,R153
Kafe Coffee Roastery,R154
Kaffetre,R155
Kakalove Cafe,R156
Kakalove Café,R157
Kaldi's Coffee Roasting,R158
Kasasagi Coffee Roasters,R159
Kean Coffee,R160
Klatch Coffee,R161
Knockbox Coffee,R162
Kona Farm Direct,R163
Kuma Coffee,R164
LECO Coffee,R165
La Golondrina by Counter Culture Coffee,R166
Lab 146,R167
Las Chicas Del Café,R168
Le Brewlife,R169
Lexington Coffee Roasters,R170
Lina Premium Coffee,R171
MJ Bear Coffee,R172
MK Coffee Roasters,R173
Magnolia Coffee,R174
ManLao River Coffee Company,R175
Marcheur Roaster,R176
Merge Coffee Company,R177
Metropolis Coffee,R178
Mi's Cafe,R179
Miranda Farms,R180
Modern Times,R181
Modern Times Coffee,R182
Mojo Coffee Roasters,R183
Monarch Coffee,R184
MoonMoon Coffee,R185
Moore Coffee,R186
Mostra Coffee,R187
Mother Pigeons,R188
Mr. Espresso,R189
Mudhouse Coffee Roasters,R190
Mute Roaster,R191
NINETYs Roastery,R192
Namusairo Coffee,R193
Noble Coffee Roasting,R194
Noelia Coffee,R195
Normandy Coffee Thai Cuisine,R196
Northbound Coffee Roasters,R197
Nostalgia Coffee Roasters,R198
Notch Coffee,R199
Novo Coffee,R200
OQ Coffee Co.,R201
Oak & Bond Coffee Company,R202
Oceana Coffee,R203
Old Soul Co.,R204
Old World Coffee Lab,R205
Olympia Coffee Roasting,R206
Omine Coffee,R207
One Fresh Cup,R208
Origin Coffee Roasters,R209
PERC Coffee Roasters,R210
PT's Coffee Roasting,R211
PT's Coffee Roasting Co.,R212
PT’s Coffee Roasting Co.,R213
Papa Lin's Coffee Roasting,R214
Paradise Roasters,R215
Park Avenue Coffee,R216
Peach Coffee Roasters,R217
Peacock Coffee Roaster,R218
Per'la Specialty Roasters,R219
Per’la Specialty Roasters,R220
Plat Coffee Roastery,R221
Pop Coffee Works,R222
Port of Mokha,R223
Portrait Coffee,R224
Prairie Lily Coffee,R225
Press Coffee,R226
Press Coffee Roasters,R227
Pro Aroma Enterprise Coffee,R228
Propeller Coffee,R229
Quartet Kaffe,R230
Queen Coffee,R231
R Miguel,R232
RD Cafe,R233
RND & Red Rooster Coffee Roaster,R234
RamsHead Coffee Roasters,R235
Ramshead Coffee Roasters,R236
Red Rock Roasters,R237
Red Rooster Coffee Roaster,R238
Regent Coffee,R239
Return Coffee Roastery,R240
Reunion Island Coffee,R241
Revel Coffee,R242
Roadmap CoffeeWorks,R243
Roadmap Coffeeworks,R244
Roast House,R245
Roasters Note,R246
Roasting Room,R247
Rusty's Hawaiian,R248
Rusty's Hawaiian Coffee,R249
Rusty’s Hawaiian,R250
SO Roasters,R251
SOT Coffee Roaster,R252
Sacred Grounds Organic Coffee Roasters,R253
