roaster_city_ID,roaster_ID,city_ID
RS1,R1,City81
RS2,R2,City68
RS3,R2,City88
RS4,R3,City141
RS5,R4,City188
RS6,R5,City112
RS7,R6,City170
RS8,R7,City105
RS9,R8,City68
RS10,R8,City88
RS11,R9,City173
RS12,R10,City58
RS13,R11,City48
RS14,R12,City159
RS15,R13,City68
RS16,R13,City88
RS17,R14,City47
RS18,R15,City182
RS19,R16,City102
RS20,R17,City139
RS21,R18,City184
RS22,R19,City9
RS23,R20,City91
RS24,R21,City91
RS25,R22,City130
RS26,R23,City75
RS27,R24,City60
RS28,R25,City119
RS29,R26,City71
RS30,R27,City40
RS31,R28,City160
RS32,R29,City181
RS33,R30,City181
RS34,R31,City127
RS35,R32,City183
RS36,R33,City81
RS37,R34,City33
RS38,R35,City149
RS39,R36,City210
RS40,R37,City43
RS41,R38,City183
RS42,R39,City105
RS43,R40,City4
RS44,R41,City182
RS45,R42,City183
RS46,R43,City26
RS47,R44,City106
RS48,R45,City183
RS49,R46,City202
RS50,R47,City160
RS51,R48,City81
RS52,R49,City183
RS53,R50,City169
RS54,R51,City26
RS55,R52,City81
RS56,R53,City31
RS57,R54,
RS58,R55,
RS59,R56,City183
RS60,R57,City113
RS61,R58,City5
RS62,R59,City181
RS63,R60,City183
RS64,R61,City183
RS65,R62,City158
RS66,R63,City163
RS67,R64,City117
RS68,R65,City166
RS69,R66,City139
RS70,R67,City81
RS71,R68,City176
RS72,R69,City139
RS73,R70,City160
RS74,R71,City45
RS75,R72,City160
RS76,R73,City183
RS77,R74,City139
RS78,R75,City181
RS79,R76,City102
RS80,R77,City44
RS81,R78,City46
RS82,R79,City46
RS83,R80,City52
RS84,R81,City183
RS85,R82,City183
RS86,R83,City208
RS87,R84,City43
RS88,R85,City140
RS89,R86,City28
RS90,R87,City183
RS91,R88,City120
RS92,R89,City98
RS93,R89,City99
RS94,R90,City70
RS95,R91,City183
RS96,R92,City183
RS97,R93,City185
RS98,R94,City62
RS99,R95,City194
RS100,R96,City50
RS101,R97,City51
RS102,R98,City202
RS103,R99,City138
RS104,R100,City7
RS105,R101,City7
RS106,R102,City167
RS107,R103,City167
RS108,R104,City54
RS109,R105,City41
RS110,R106,City183
RS111,R107,City39
RS112,R107,City116
RS113,R108,City39
RS114,R108,City116
RS115,R109,City183
RS116,R110,
RS117,R111,
RS118,R112,City13
RS119,R113,City175
RS120,R114,City162
RS121,R115,
RS122,R116,City70
RS123,R117,City70
RS124,R118,City183
RS125,R119,City207
RS126,R120,City81
RS127,R121,City101
RS128,R122,City19
RS129,R123,City2
RS130,R124,City24
RS131,R125,City74
RS132,R126,City193
RS133,R127,City193
RS134,R128,City181
RS135,R129,City103
RS136,R130,City22
RS137,R131,City12
RS138,R132,City203
RS139,R133,City183
RS140,R134,City183
RS141,R135,City174
RS142,R136,City32
RS143,R137,
RS144,R138,City53
RS145,R139,City81
RS146,R140,City183
RS147,R141,City67
RS148,R142,City66
RS149,R143,City90
RS150,R144,City177
RS151,R145,City40
RS152,R146,City39
RS153,R146,City116
RS154,R147,City105
RS155,R148,City183
RS156,R149,City35
RS157,R150,City187
RS158,R151,City160
RS159,R152,City156
RS160,R153,City64
RS161,R154,City211
RS162,R155,City36
RS163,R156,City39
RS164,R156,City116
RS165,R157,City39
RS166,R157,City116
RS167,R158,City178
RS168,R159,City183
RS169,R160,City123
RS170,R161,City102
RS171,R162,City68
RS172,R162,City88
RS173,R163,City66
RS174,R164,City172
RS175,R165,City81
RS176,R166,City52
RS177,R167,City81
RS178,R168,
RS179,R169,City181
RS180,R170,City92
RS181,R171,City21
RS182,R172,City183
RS183,R173,City183
RS184,R174,City37
RS185,R175,
RS186,R176,City183
RS187,R177,City61
RS188,R178,City40
RS189,R179,City81
RS190,R180,City79
RS191,R181,City160
RS192,R182,City160
RS193,R183,City122
RS194,R184,City66
RS195,R185,City183
RS196,R186,City200
RS197,R187,City160
RS198,R188,City76
RS199,R189,City127
RS200,R190,City38
RS201,R191,City104
RS202,R192,City68
RS203,R192,City88
RS204,R193,City173
RS205,R194,City10
RS206,R195,City134
RS207,R196,City81
RS208,R197,City118
RS209,R198,City160
RS210,R199,
RS211,R200,City46
RS212,R201,City63
RS213,R202,City37
RS214,R203,City186
RS215,R204,City158
RS216,R205,City148
RS217,R206,City130
RS218,R207,City183
RS219,R208,City183
RS220,R209,
RS221,R210,City171
RS222,R211,City189
RS223,R212,City189
RS224,R213,City189
RS225,R214,City209
RS226,R215,City65
RS227,R216,City178
RS228,R217,City78
RS229,R218,City183
RS230,R219,City111
RS231,R220,City111
RS232,R221,City68
RS233,R221,City88
RS234,R222,
RS235,R223,City163
RS236,R224,City11
RS237,R225,
RS238,R226,City137
RS239,R227,City137
RS240,R228,City181
RS241,R229,
RS242,R230,City183
RS243,R231,City183
RS244,R232,City6
RS245,R233,City70
RS246,R234,
RS247,R235,City24
RS248,R236,City24
RS249,R237,City3
RS250,R238,City56
RS251,R239,City59
RS252,R240,
RS253,R241,
RS254,R242,City20
RS255,R243,City92
RS256,R244,City84
RS257,R245,City177
RS258,R246,City36
RS259,R247,City180
RS260,R248,City133
RS261,R249,City133
RS262,R250,City133
RS263,R251,City1
RS264,R252,City131
RS265,R253,City8
RS266,R254,City183
RS267,R255,City93
RS268,R256,City93
RS269,R257,
RS270,R258,City182
RS271,R259,City158
RS272,R260,City183
RS273,R261,City174
RS274,R262,City162
RS275,R263,City185
RS276,R264,City185
RS277,R265,City185
RS278,R266,City70
RS279,R267,City107
RS280,R268,City144
RS281,R269,City207
RS282,R270,City207
RS283,R271,
RS284,R272,City16
RS285,R273,City139
RS286,R274,City182
RS287,R275,City110
RS288,R276,City110
RS289,R277,City43
RS290,R278,City34
RS291,R279,City34
RS292,R280,
RS293,R281,City72
RS294,R282,City139
RS295,R283,City46
RS296,R284,City131
RS297,R285,City183
RS298,R286,City212
RS299,R287,City183
RS300,R288,City183
RS301,R289,
RS302,R290,City158
RS303,R291,City158
RS304,R292,City158
RS305,R293,City2
RS306,R294,City2
RS307,R295,City57
RS308,R296,City57
RS309,R297,City190
RS310,R297,City191
RS311,R298,City68
RS312,R298,City88
RS313,R299,City181
RS314,R300,City80
RS315,R301,City126
RS316,R302,City160
RS317,R303,City160
RS318,R304,City146
RS319,R305,City135
RS320,R306,City69
