coffee_ID,species_coffee_id,species_id
C1,CS1,S3
C2,CS2,S46
C2,CS3,S47
C3,CS4,S16
C4,CS5,
C5,CS6,S46
C5,CS7,S47
C5,CS8,S44
C6,CS9,S40
C6,CS10,S3
C6,CS11,S53
C7,CS12,S58
C8,CS13,
C9,CS14,S3
C9,CS15,S53
C10,CS16,S9
C11,CS17,S59
C12,CS18,S16
C13,CS19,S3
C13,CS20,S22
C14,CS21,S10
C15,CS22,
C16,CS23,S57
C17,CS24,S46
C17,CS25,S47
C18,CS26,S16
C19,CS27,S16
C20,CS28,S9
C20,CS29,S3
C21,CS30,
C22,CS31,S58
C23,CS32,
C24,CS33,S46
C24,CS34,S47
C25,CS35,S16
C26,CS36,S3
C27,CS37,S59
C28,CS38,S53
C29,CS39,S22
C30,CS40,
C31,CS41,
C31,CS42,
C32,CS43,
C33,CS44,
C34,CS45,S59
C35,CS46,
C36,CS47,S16
C37,CS48,S59
C38,CS49,
C39,CS50,S59
C40,CS51,
C41,CS52,S59
C42,CS53,
C43,CS54,S16
C44,CS55,S16
C45,CS56,S16
C46,CS57,S59
C47,CS58,S16
C48,CS59,S16
C49,CS60,S16
C50,CS61,S16
C50,CS62,S59
C51,CS63,S16
C52,CS64,S16
C53,CS65,
C54,CS66,S59
C55,CS67,S16
C56,CS68,S59
C57,CS69,S59
C58,CS70,S59
C58,CS71,S53
C59,CS72,S59
C60,CS73,S59
C61,CS74,S16
C62,CS75,
C63,CS76,S10
C63,CS77,S40
C63,CS78,S3
C63,CS79,S22
C64,CS80,
C65,CS81,
C66,CS82,S16
C67,CS83,
C68,CS84,S59
C69,CS85,S59
C70,CS86,S38
C71,CS87,S16
C72,CS88,
C73,CS89,S3
C74,CS90,S55
C75,CS91,S10
C76,CS92,
C77,CS93,
C78,CS94,
C79,CS95,S39
C80,CS96,S59
C81,CS97,S16
C82,CS98,S53
C83,CS99,S10
C84,CS100,S40
C84,CS101,S53
C85,CS102,S59
C86,CS103,
C87,CS104,S53
C88,CS105,
C89,CS106,S59
C90,CS107,
C91,CS108,
C92,CS109,S16
C93,CS110,
C94,CS111,S16
C95,CS112,
C96,CS113,S46
C96,CS114,S47
C96,CS115,S44
C97,CS116,
C98,CS117,S3
C99,CS118,S16
C100,CS119,S10
C100,CS120,S3
C100,CS121,S53
C101,CS122,S10
C101,CS123,S53
C102,CS124,
C103,CS125,
C104,CS126,
C105,CS127,
C106,CS128,S53
C107,CS129,S46
C107,CS130,S47
C108,CS131,S38
C109,CS132,S59
C110,CS133,S46
C110,CS134,S47
C110,CS135,S44
