Month (US$/lb),Year,ICO composite indicator,"Colombian
 Milds",Other Milds,"Brazilian
 Naturals",Robustas
January,1990,62.75,82.07,76.02,70.36,49.47
February,1990,67.01,91.55,83.95,77.59,50.06
March,1990,75.25,103.24,94.73,86.17,55.76
April,1990,75.34,101.79,94.71,87.45,55.95
May,1990,73.3,99.14,92.97,86.31,53.62
June,1990,69.91,96.01,89.15,82.94,50.67
July,1990,68.36,92.45,86.65,78.94,50.07
August,1990,74.1,103.3,94.43,90.25,53.78
September,1990,75.55,102.21,95.39,92.2,55.7
October,1990,73.89,97.2,91.58,85.78,56.21
November,1990,70.1,92.38,84.72,77.46,55.48
December,1990,72.83,97.06,89.18,80.17,56.46
January,1991,69.38,91.55,85.93,75.59,52.83
February,1991,70.55,94.21,89.21,79.39,51.87
March,1991,72.47,99.36,93.56,83.83,51.37
April,1991,71.45,97.27,91.96,81.58,50.93
May,1991,67.47,91.51,87.88,75.56,47.06
June,1991,65.58,90.18,85.78,72.44,45.38
July,1991,64.31,88.02,83.24,69.24,45.38
August,1991,63.34,88.09,81.77,68.15,44.9
September,1991,66.86,91.95,87.06,75.08,46.66
October,1991,62.83,82.88,79.77,65.91,45.88
November,1991,64.3,82.43,78.2,66.03,50.4
December,1991,63.07,79.7,75.35,62.14,50.79
January,1992,61.12,78.4,73.41,62.03,48.83
February,1992,55.51,71.75,68.45,58.05,42.57
March,1992,56.48,73.67,70.37,59.6,42.59
April,1992,53.64,69.55,65.92,54.94,41.36
May,1992,49.27,64.93,60.86,51.11,37.68
June,1992,48.13,64.1,59.09,49.08,37.17
July,1992,48.7,62.5,58.2,48.53,39.19
August,1992,45.89,56.49,52.93,46.4,38.85
September,1992,47.11,56.18,53.23,49.43,40.98
October,1992,52.88,64.77,61.57,59.64,44.19
November,1992,57.49,71.72,67.31,64.64,47.67
December,1992,64,81.52,77.19,74.39,50.81
January,1993,58.14,71.61,69.39,67.13,46.9
February,1993,57.32,72.45,67.65,66.34,46.99
March,1993,54.76,67.07,63.62,62.6,45.9
April,1993,51.38,59.77,57.87,54.92,44.88
May,1993,54.18,67.35,62.18,57.26,46.17
June,1993,54.54,68.13,62.5,55.7,46.57
July,1993,60.61,76.4,71.81,65.76,49.4
August,1993,67.69,84.18,76.92,73.25,58.46
September,1993,71.64,86.58,80.77,75.58,62.5
October,1993,67.78,83.02,76.64,71.65,58.92
November,1993,70.03,85.56,78.6,74.2,61.46
December,1993,71.5,87.33,81.19,74.51,61.81
January,1994,69.17,85.85,78.95,71.42,59.39
February,1994,72.37,93.04,83.93,80.14,60.8
March,1994,76.11,93.23,87.06,84.72,65.16
April,1994,81.19,97.53,90.57,87.14,71.82
May,1994,108.42,133.9,121.88,118.37,94.95
June,1994,127.91,151.85,143.43,136.43,112.38
July,1994,191.44,222.75,218.89,211.81,164
August,1994,181.53,210.61,200.44,192.38,162.61
September,1994,202.39,231.52,222,212.73,182.78
October,1994,185.64,206.07,201.85,191.21,169.43
November,1994,168.12,186.96,182.91,172.83,153.33
December,1994,149.14,173.94,168.54,159.73,129.73
January,1995,152.08,177.23,172.62,162.81,131.54
February,1995,152.24,175.07,169.79,161.07,134.69
March,1995,162.73,185.75,179.43,171.48,146.03
April,1995,159.59,180.3,174.4,166.54,144.78
May,1995,155.96,177.18,171.01,161.72,140.9
June,1995,141.66,170.89,154.49,145.22,128.82
July,1995,132.71,157.22,145.66,139.68,119.76
August,1995,141.7,163.21,153.21,149.54,130.18
September,1995,124.76,141.49,134.46,130.26,115.05
October,1995,120.02,132.08,127.27,127.23,112.76
November,1995,117.99,129.09,125.25,125.33,110.73
December,1995,99.57,110.47,106.24,110.46,92.89
January,1996,100.33,119.08,110.65,127.54,89.99
February,1996,110.5,134.94,124.09,144.05,96.89
March,1996,105.89,130.6,120.84,140.99,90.94
April,1996,107.09,134.31,123.5,132.92,90.67
May,1996,110.24,142.56,129.27,134.76,91.2
June,1996,105.79,133.25,125.46,125.44,86.11
July,1996,99.97,135.39,122.47,106.93,77.46
August,1996,102.73,137.68,126.22,108.28,79.22
September,1996,96.52,123.3,118.7,103.1,74.34
October,1996,98.56,127.77,124.2,105.77,72.92
November,1996,97.14,129.41,124.07,103.76,70.2
December,1996,90.04,126.41,117.02,103.71,63.06
January,1997,100.03,146.18,132.86,127.28,67.19
February,1997,121.89,188.62,168.37,160.21,75.4
March,1997,137.47,212.96,194.7,179.75,80.23
April,1997,142.2,199.22,206.99,183.73,77.39
May,1997,180.44,318.5,267.27,209.62,93.6
June,1997,155.38,227.15,222.02,184.21,88.74
July,1997,135.04,190.57,190.41,158.52,79.65
August,1997,132.63,193.46,190.8,158.25,74.45
September,1997,132.51,196.29,189.87,167.77,75.15
October,1997,121.09,169.4,167.66,152.12,74.52
November,1997,118.16,161.38,160.27,149.07,76.04
December,1997,130.02,183.32,177.44,171.12,82.6
January,1998,130.61,184.21,177.8,179.83,83.41
February,1998,130.78,190.59,178.18,177.78,83.36
March,1998,119.93,166.07,157.65,154.84,82.19
April,1998,119.66,158.17,150.35,141.11,88.97
May,1998,114.23,146.33,137.72,124.89,90.74
June,1998,103.84,135.83,124.93,104.09,82.73
July,1998,97.32,125.03,117.6,96.22,77.04
August,1998,101.25,129.45,123.21,101.92,79.29
September,1998,95.82,117.56,111.85,92.76,79.8
October,1998,95.01,115.01,109.72,91.32,80.3
November,1998,98.26,121.74,116.36,96.67,80.16
December,1998,100.73,123.96,117.39,100.28,84.06
January,1999,97.62,123.07,112.96,99.43,82.29
February,1999,92.36,116.92,105.48,91.72,79.23
March,1999,89.4,117.05,105.39,88.9,73.42
April,1999,85.71,114.02,102.11,86.14,69.32
May,1999,89.51,123.95,111.07,96.29,67.94
June,1999,86.4,121.45,107.21,91.69,65.59
July,1999,78.2,107.05,94.84,78.13,61.56
August,1999,77.22,105.28,91.36,76.67,63.07
September,1999,71.94,97.77,84.31,70.43,59.57
October,1999,76.36,103.69,94.2,78.74,58.52
November,1999,88.22,126.76,113.38,98.41,63.06
December,1999,95.62,140.35,124.46,109.47,66.79
January,2000,82.14,130.13,111.11,97.68,53.18
February,2000,76.15,124.73,103.44,91.51,48.86
March,2000,73.49,119.51,100.73,89.93,46.25
April,2000,69.53,112.67,94.61,86.46,44.45
May,2000,69.23,110.31,94.15,87.23,44.32
June,2000,64.56,100.3,86.44,78.32,42.68
July,2000,64.08,101.67,87.35,79.89,40.82
August,2000,57.58,91.87,76.91,70.57,38.25
September,2000,57.3,89.98,75.78,71.14,38.83
October,2000,56.39,90.25,76.65,72.28,36.14
November,2000,52.17,84.01,71.54,68.95,32.81
December,2000,48.27,75.81,66.15,64.39,30.38
January,2001,49.19,75.33,65.98,62.38,32.4
February,2001,49.38,76.7,67.19,62.5,31.58
March,2001,48.51,76.94,66.5,60.35,30.52
April,2001,47.31,78.25,66.13,55.11,28.49
May,2001,49.38,80.92,69.22,57.19,29.55
June,2001,46.53,74.38,63.9,51.86,29.16
July,2001,43.07,69.7,58.72,46.43,27.42
August,2001,42.76,73.5,59.71,46.49,25.81
September,2001,41.17,68.8,58.06,42.42,24.27
October,2001,42.21,62.87,56.4,38.63,23.23
November,2001,44.24,64.89,58.85,42.82,23.67
December,2001,43.35,62.33,56.72,42.21,24.42
January,2002,43.46,62.51,58.25,43.14,22.81
February,2002,44.3,62.67,59.11,43.17,24.37
March,2002,49.49,68.27,64.47,48.7,29.06
April,2002,50.2,69.63,65.29,49.52,29.31
May,2002,47.3,65.95,61.4,45.39,28.31
June,2002,45.56,62.94,58.56,43,28.42
July,2002,44.7,60.6,56.48,43.3,28.6
August,2002,42.79,58.1,54.27,40.18,27.88
September,2002,47.96,64.15,60.66,44.53,32.08
October,2002,50.79,67.92,65.73,46.08,33.32
November,2002,54.68,70.7,69.87,49.25,37.89
December,2002,51.69,65.38,64.16,46.55,38.06
January,2003,54.04,67.27,65.57,49.31,41.18
February,2003,54.07,67.47,66.41,48.97,40.67
March,2003,49.61,62.15,61.75,43.77,37.17
April,2003,51.87,64.4,64.69,48.55,37.42
May,2003,53.19,65.73,66.26,51.12,37.8
June,2003,48.9,61.61,61.04,46.88,34.21
July,2003,50.89,64.88,62.95,49.5,35.35
August,2003,52.22,65.65,63.89,52.48,36.3
September,2003,54.1,67.55,66.41,54.86,37.35
October,2003,51.72,66.17,64.29,52.81,35.88
November,2003,49.8,64.39,62.27,50.73,34.11
December,2003,52.44,66.68,64.85,54.79,35.9
January,2004,58.68,73.76,72.73,62.06,39.84
February,2004,59.87,76.53,76.2,65.52,37.05
March,2004,60.8,77.97,78.06,66.97,36.7
April,2004,58.8,75.22,75.44,63.7,36.37
May,2004,59.91,77.17,76.99,65.16,36.56
June,2004,64.28,82.51,82.21,69.61,39.87
July,2004,58.46,76.13,74.94,62.89,36.02
August,2004,56.98,75.35,73.61,61.75,33.91
September,2004,61.47,81.02,80.47,68.9,34.24
October,2004,61.1,83.02,80.55,69.91,31.67
November,2004,67.74,92.83,90.27,79.39,32.71
December,2004,77.72,105.75,104.12,91.76,36.92
January,2005,79.35,108.22,107.16,93.63,36.96
February,2005,89.4,121.56,120.86,106.11,41.24
March,2005,101.44,135.54,135.03,120.12,49.51
April,2005,98.2,129.51,129.53,114.48,50.75
May,2005,99.78,128.87,128.37,114.96,56.07
June,2005,96.29,121.29,121.16,107.23,60.02
July,2005,88.48,110.79,109.93,96.56,57.88
August,2005,85.31,108.94,108.2,94.98,51.97
September,2005,78.79,101.15,99.49,89.48,46.87
October,2005,82.55,106.21,105.05,94.4,47.53
November,2005,85.93,109,107.74,97.96,51.45
December,2005,86.85,107.69,105.77,97.57,56.39
January,2006,101.2,126.92,124.2,114.98,63.39
February,2006,97.39,121.31,119.12,109.01,62.98
March,2006,92.76,116.01,113.66,103.92,59.6
April,2006,94.2,117.87,115.42,105.49,60.55
May,2006,90,111.81,109.36,99.29,60.08
June,2006,86.04,105.83,103.15,93.27,60.23
July,2006,88.57,107.85,105,94.56,64.49
August,2006,95.78,114.14,111.73,100.37,73.59
September,2006,95.98,111.88,109.83,99.53,77.11
October,2006,95.53,112.67,110.63,99.23,75.17
November,2006,103.48,123.95,122.27,110.04,76.79
December,2006,108.01,131.41,128.44,117.36,76.67
January,2007,105.81,126.07,124.53,112.5,79.13
February,2007,104.18,123.82,122.03,110.03,79.08
March,2007,100.09,118.33,117.08,104.91,77
April,2007,99.3,116.11,114.6,102.22,79.58
May,2007,100.09,115.01,113.24,101.49,83.91
June,2007,107.03,121.2,119.33,107.32,92.68
July,2007,106.2,120.78,117.63,106.24,92.51
August,2007,107.98,125.22,123.19,111.73,87.44
September,2007,113.2,130.37,128.04,117.14,92.78
October,2007,115.71,136.49,134.29,122.12,91.1
November,2007,114.43,133.32,131,119.87,92.59
December,2007,118.16,140.12,137.58,125.93,91.39
January,2008,122.33,142.66,139.86,127.93,99.21
February,2008,138.82,159.9,157.29,143.78,115.45
March,2008,136.17,151.64,149.89,136.41,121.92
April,2008,126.55,142.04,140.7,127.67,111.29
May,2008,126.76,143.6,141.95,129.52,108.88
June,2008,130.51,149.15,146.15,133.65,111.34
July,2008,132.78,151.18,147.36,134.88,115.23
August,2008,131.14,151.03,146.43,133.28,112.56
September,2008,126.69,148.36,143.27,130.26,105.38
October,2008,108.31,130.99,123.59,110.27,88.77
November,2008,107.88,130.45,121.89,107.96,90.76
December,2008,103.07,130.89,118.97,103.46,82.51
January,2009,108.39,142.32,128.3,109.18,82.74
February,2009,107.6,144.55,129.48,107.69,80.22
March,2009,105.87,154.16,128.52,102.81,76.31
April,2009,111.61,181.1,134.88,105.95,75.53
May,2009,123.05,212.05,150.99,118.4,75.62
June,2009,119.05,196.32,149.79,115.42,73.79
July,2009,112.9,187.29,140.9,107.8,71.68
August,2009,117.45,185.39,149.76,116.86,72.35
September,2009,116.4,177.45,148.53,116.16,73.82
October,2009,121.09,178.13,154.57,124.62,73.51
November,2009,119.67,178.33,152.21,126.17,69.48
December,2009,124.96,192.11,158.16,132.84,69.89
January,2010,126.85,207.51,158.9,131.67,70.08
February,2010,123.37,204.71,157.86,124.57,67.88
March,2010,125.3,205.71,164.5,126.21,67.25
April,2010,126.89,199.5,169.24,125.71,71.52
May,2010,128.1,200.33,173.28,127.32,70.61
June,2010,142.2,224.49,190.9,143.2,76.92
July,2010,153.41,235.52,203.21,156.87,85.27
August,2010,157.46,243.98,211.59,163.21,82.68
September,2010,163.61,247.77,222.71,175.15,81.28
October,2010,161.56,230.02,217.64,175.38,85.27
November,2010,173.9,244.02,233.48,190.62,92.04
December,2010,184.26,261.97,248.17,204.25,94.09
January,2011,197.35,279.88,263.77,219.77,101.09
February,2011,216.03,296.44,287.89,247,109.35
March,2011,224.33,300.68,292.07,260.98,118.13
April,2011,231.24,312.95,300.12,273.4,117.37
May,2011,227.97,302.17,291.09,268.66,121.98
June,2011,215.58,287.95,274.98,250.59,117.95
July,2011,210.36,285.21,268.02,245.69,112.73
August,2011,212.19,286.97,270.44,249.83,112.07
September,2011,213.04,287.54,274.88,255.64,106.06
October,2011,193.9,257.66,247.82,234.28,98.1
November,2011,193.66,256.99,245.09,236.75,97.24
December,2011,189.02,251.6,236.71,228.79,98.41
January,2012,188.9,255.91,237.21,228.21,96.72
February,2012,182.29,244.14,224.16,215.4,101.93
March,2012,167.77,222.84,201.26,192.03,103.57
April,2012,160.46,214.46,191.45,180.9,101.8
May,2012,157.68,207.32,184.65,174.17,106.88
June,2012,145.31,184.67,168.69,156.17,105.7
July,2012,159.07,202.56,190.45,175.98,107.06
August,2012,148.5,187.14,174.82,160.05,106.52
September,2012,151.28,190.1,178.98,166.53,104.95
October,2012,147.12,181.39,173.32,161.2,104.47
November,2012,136.35,170.08,159.91,148.25,97.67
December,2012,131.31,164.4,152.74,140.69,96.59
January,2013,135.38,169.19,157.29,145.17,99.69
February,2013,131.51,161.7,149.46,136.63,104.03
March,2013,131.38,161.53,149.78,133.61,106.26
April,2013,129.55,161.76,149.81,132.62,101.68
May,2013,126.96,158.35,147.19,130.29,99.18
June,2013,117.58,147.55,138.26,120.01,90.79
July,2013,118.93,147.46,138.39,119.47,95.21
August,2013,116.45,143.26,135.15,116.81,94.01
September,2013,111.82,138.6,132.28,112.65,87.78
October,2013,107.03,133.83,128.7,109.57,83.7
November,2013,100.99,124.65,122.02,102.57,79.71
December,2013,106.56,126.54,125.97,107.4,87.89
January,2014,110.75,132.9,132.73,114.02,87.73
February,2014,137.81,172.22,173.64,148.74,95.9
March,2014,165.03,211.07,214.09,182.97,105.37
April,2014,170.58,220.62,223.48,190.62,105.55
May,2014,163.94,211.66,214.2,181.97,102.99
June,2014,151.92,195.17,197.89,165.34,98.91
July,2014,152.5,194.21,196.9,164.92,101.79
August,2014,163.08,211.6,212.97,183.32,100.25
September,2014,161.79,206.78,210.53,182.15,100.52
October,2014,172.88,222.59,225.29,197.05,104.7
November,2014,162.17,206.41,209.38,181.43,103.06
December,2014,150.66,190.16,193.6,166.58,98.43
January,2015,148.24,185.26,190,163.5,98.01
February,2015,141.1,174.11,178.89,151.9,98.36
March,2015,127.04,154.29,160.74,133.55,92.16
April,2015,129.02,157.06,164,136.7,92.06
May,2015,123.49,150.19,158.48,130.38,87.56
June,2015,124.97,152.02,159.76,130.51,90.25
July,2015,119.77,144.52,154.45,123.64,87.12
August,2015,121.21,146.96,156.92,127.24,85.78
September,2015,113.14,135.55,146.15,117.83,81.5
October,2015,118.43,143.1,153.25,127.47,82.78
November,2015,115.03,138.63,147.98,122.95,81.74
December,2015,114.63,139.89,148.66,123.73,79.28
January,2016,110.89,135.21,145.03,121.21,74.71
February,2016,111.75,137.17,147.7,122.24,74.04
March,2016,117.83,145.2,157.5,130.38,75.6
April,2016,117.93,143.66,154.22,128.1,80.18
May,2016,119.91,144.49,155.19,129.05,83.93
June,2016,127.05,156.86,165.45,138.38,85.94
July,2016,132.98,164.46,171.76,144.76,90.82
August,2016,131,160.78,167.54,141.41,91.79
September,2016,138.22,168.85,176.3,149.8,96.88
October,2016,142.68,172.28,178.96,153.15,103.65
November,2016,145.82,177.85,184.12,157.72,103.72
December,2016,131.7,156.64,161.78,137.14,101.85
January,2017,139.07,164.96,168.61,145.7,108.32
February,2017,137.68,163.67,166.35,145.5,106.49
March,2017,134.07,158.4,160.15,139.67,106.73
April,2017,130.39,154.97,155.4,136.09,103.58
May,2017,125.4,151.41,150,131.21,98.36
June,2017,122.39,146.12,143.22,123.71,101.95
July,2017,127.26,152.51,149.66,129.19,104.94
August,2017,128.24,155.15,149.88,131.93,104.52
September,2017,124.46,151.47,146.56,129.67,99.18
October,2017,120.01,144.26,140.71,124.55,98.39
