Country (In thousand 60kg bags),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Angola,84.35,70.501,80.25,38.878,8.302,40.559,51.831,50.494,53.929,50.114,21.505,14.25,9.345,17.298,5.67,4.665,5.41,3.916,6.105,6.925,4.37,7.575,8.375,5.52,9.375,10.515,10.945,9.055,9.3233967,23.3571778
Bolivia (Plurinational State of),156.442,73.523,96.2040001,47.319,84.3210002,93.9580001,123.4450001,110.9550001,97.0389999,123.709,106.347,69.555,79.148,73.1590001,93.278,84.2137507,92.5442368,84.0471555,68.1538912,82.6087731,78.2680061,74.3088833,62.67578,54.8505333,61.7512667,30.2801583,22.4563417,26.1199916,22.4596336,20.3419549
Brazil,16935.7876,21182.7614,18790.7192,17837.748,17273.1476,14468.4322,15250.609,16801.26001,18144.38833,23149.2038,18016.26064,23172.48651,27981.83894,25710.81166,26478.47509,26198.05545,27368.90196,28183.57395,29510.29569,30377.98164,33166.64159,33806.00933,28549.42589,31650.56295,37335.17283,37562.84675,34269.15025,30924.56785,35637.35859,40697.86371
Burundi,584.773,687.851,645.858,417.609,507.803,528.202,224.076,528.764,373.841,408.748,444.242,303.166,288.607,475.98,338.925,371.441,280.927,356.114,250.6982333,288.83,307.1189581,217.8457992,392.0069167,194.7158834,252.178,230.18855,204.2708313,168.8762643,201.7252364,292.8872914
Cameroon,2611.259,1752.179,1645.851,704.53,545.889,407.269,563.549,1368.03,745.718,1154.047,1204.964,1125.159,639.688,814.341,734.325,704.3954,739.1189167,720.62075,527.0159667,617.7570333,793.8456667,490.2830667,621.8128,271.9492167,375.0338667,390.1427167,281.1289667,245.0171167,287.41525,249.9023999
Central African Republic,196.698,140.95,99.975,137.197,136.676,231.542,98.328,202.778,102.32,194.884,202.816,94.316,95.435,39.83,63.92,46.5612127,16.517692,121.9396667,32.633,61.582,95.194,77.943,77.692,1,75.027,43.214,80.018,18.1126667,38.528,19.2733333
Colombia,13943.87,12599.185,16564.37,13568.362,11768.089,9814.197,10588.431,10918.863,11259.929,9995.310001,9176.66091,9943.630001,10273.425,10244.392,10194.315,10871.24697,10944.85346,11300.42069,11085.1702,7893.926795,7821.634504,7733.625254,7170.203291,9669.907367,10954.40836,12716.38467,12831.39073,12984.59575,12807.97262,13672.2256
Congo,1.68,0.924,0.336,0.504,1.017,19.149,12.634,2.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0020367,0,0,0.0130833,0.0005553
Costa Rica,2265.644,2399.64,2431.340001,2363.92,2104.968,2067.011,2430.134,2099.239,2044.558001,2194.911003,1964.980041,2018.297,1784.034002,1701.812,1423.940001,1480.335985,1310.369409,1363.850156,1440.082759,1235.645154,1199.982617,1243.059935,1373.667164,1343.951587,1208.918498,1128.190321,1006.928354,987.1546413,1207.946296,1039.144361
Côte d'Ivoire,4282.866,3804.734001,4546.368,4033.107001,2443.993,2493.946,2750.602999,4712.982001,4365.288002,2406.01,6109.6138,4094.522,3253.215002,2646.649001,2572.733999,1753.849255,1751.069938,2195.601515,1490.235475,1806.525716,1912.053443,772.2421667,1711.765617,1962.070767,1489.15115,1418.375167,1432.0436,854.6205832,1522.457567,2104.25716
