Country (In thousand 60-kg bags),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2019/20
Austria,1879.717004,2058.271005,2206.416005,1836.489002,1417.214004,1231.436001,1210.466006,1294.203405,1293.354106,1499.777011,1257.232892,1432.413588,1447.207389,1336.059588,1538.156191,1576.57893,1600.652025,1968.112699,1901.066696,1309.234032,1369.200299,1452.492905,1558.609366,1554.926951,1525.08108,1513.390285,1494.93856,1459.911532,1429.406832,1447.513664,51.8419
Belgium,,,,,,,,,,3003.005512,3490.615583,3208.627181,3792.172778,3817.614025,3968.304565,4063.225076,4604.683977,4013.653412,6792.086621,5915.500588,5923.729993,5828.442382,5668.231844,5502.14364,5211.749274,5533.514206,6052.170163,5677.379139,5742.253404,6198.896527,81.2654
Belgium/Luxembourg,2014.954017,1746.225019,1827.85102,2063.260029,2262.473036,2401.498025,2525.823622,2544.379319,3579.677916,,,,,,,,,,,,,,,,,,,,,,58210.7127
Bulgaria,268.1829982,200.2200014,182.2310123,397.4430059,462.6680067,515.418008,272.1599948,294.1540027,342.1220043,366.9190043,280.7270156,354.9049957,343.4319971,400.3609976,366.8488919,440.5141695,434.5516861,393.3613084,517.2056848,522.9957876,528.3720815,481.5102089,559.8250658,609.4866685,620.7089657,681.7565892,779.1600127,706.8825173,737.2439834,784.8967153,272.4688
Croatia,,,168.1900054,162.7740011,193.4500023,320.1320059,321.8359979,385.2970035,339.0510012,352.0830048,344.3819963,352.088997,370.9149955,392.5739971,388.3918396,391.5995398,404.1215639,413.7646766,405.3261764,394.0485164,393.825469,390.8739587,384.4903604,412.8494215,419.6735498,437.201445,478.6666582,439.0744122,445.5136108,466.4175265,558.9352
Cyprus,49.853999,53.9259999,40.8759994,77.4120001,51.8360006,43.7689997,51.5019993,41.3409992,49.7789994,55.4585999,68.5379972,59.0464969,56.6288971,58.7975968,59.3537956,80.0981044,73.8042354,71.4217923,77.5144181,71.7398673,76.7284479,82.0787537,83.8774691,93.7661831,94.3881005,89.3048755,93.1533074,99.9338742,133.1795419,133.2248737,11432.9425
Czechia,659.433,525.274,474.7310027,514.2770051,553.7970031,553.1969994,525.2980024,560.2250029,764.8390017,727.6767881,808.9423769,899.2526326,887.8802292,974.0662495,928.8746985,1063.413826,940.4783432,1037.078661,1037.326757,930.025889,950.7219282,952.3665949,1126.622901,1183.882242,1822.690779,2067.838569,1779.351245,1506.967219,1903.158902,1608.92147,383.3125
Denmark,959.1050037,982.7570044,1061.623004,993.9470002,1033.184003,877.1590019,1005.9992,949.0705001,1013.723201,1093.779302,1021.798296,1102.963595,1075.800493,1001.582191,1119.450387,993.3597532,1004.162831,995.1983116,900.3654349,859.8465934,1014.640895,908.8697406,913.0989936,921.1789153,853.4238792,840.7776365,905.7896194,852.1933331,867.9505231,907.935154,16.0431
Estonia,,,16.3780004,51.1479976,83.0979984,107.4780016,116.9180065,141.1149967,134.6589964,130.9134032,105.3046037,160.8885019,119.7034255,133.8062641,175.7325059,221.1360714,254.4241989,277.1065846,334.3833741,357.2725337,262.8701871,166.8557318,157.2347896,156.214012,130.8537127,126.2006378,134.8026375,133.1481382,147.1377814,147.848908,751.721
Finland,1095.140998,1033.066999,1055.361,1301.455999,1361.003002,769.4989997,992.2736017,1185.521302,1167.935302,1209.485,1063.111,1084.062837,1075.334898,1104.797299,1151.983199,1156.441194,1167.979474,1207.029304,1284.794553,1243.263833,1273.743443,1286.515065,1237.83304,1275.467965,1213.05538,1320.802279,1388.96628,1360.023736,1284.822821,1515.473931,20.0038
