coffee name,coffee rating,roaster name,roaster country/state,roaster city,coffee origin country,coffee origin city,roast level,whole bean (agtron),after grinding (agtron),price,pricing unit (g),review date,aroma,acidity,body,flavor,aftertaste,blind ass (paragraph),species (paragraph)
Colombia Pink Bourbon,95,modcup,New Jersey,['Jersey City'],['Colombia'],"['Piendamó', ' Cauca Department']",Light,64.0,82.0,30.0,250,March 2023,9.0,9.0,9.0,9.0,9.0,"Wildly tropical, fruity and deep. Passion fruit, mango, tamarind, rice candy, hop flowers in aroma and cup. Richly bittersweet structure with juicy acidity; plushly syrupy mouthfeel. Long, lingering, fruity finish. ","Produced by Wilton Benitez entirely of the Pink Bourbon variety of Arabica and processed by a proprietary anaerobic fermentation method in which ​​the coffee fruit is first sterilized, then fermented anaerobically in the whole fruit with added microorganisms for 36 hours. After this fermentation in the whole fruit, the coffee is subjected to thermal shock (first a high temperature to swell the beans and allow the unique flavors and aromas from the initial anaerobic yeast fermentation to penetrate the seeds, then a cold temperature to constrict the beans and lock in those flavors and aromas). Finally, the whole cherries are carefully dried by machine until the beans reach 10.5% internal humidity. Founded in 2013, modcup coffee focuses on fresh roasting and distinctive natural-processed coffees. Visit modcup.com for more information."
Kenya Kiambu Mandela Estate AA Washed Process,94,Buon Caffe,Taiwan,[' Taipei'],['south-central Kenya'],['Kiambu County'],Medium-Light,60.0,77.0,11.52,226.8,March 2023,9.0,9.0,9.0,9.0,8.0,"Complex, nuanced, multi-layered. Black currant, freesia, amber, toffee, cedar in aroma and cup. Sweetly tart structure with juicy, high-toned acidity; syrupy-smooth mouthfeel. The resonant finish leads with black currant and toffee notes in the short, rounding to amber and cedar in the long.","Produced by the Kariruki family from trees of the classic Kenya SL28 and SL34 varieties of Arabica, and processed by the traditional washed method (fruit skin and pulp are removed before drying). Buon Caffe is a specialty coffee roaster and cafe in Taipei, Taiwan. Visit www.buoncaffe.com.tw for more information. "
Costa Rica Volcán Azul Geisha Yeast-Washed,94,Kafe Coffee Roastery,Taiwan,['Zhubei'],['Costa Rica'],['West Valley'],Light,62.0,80.0,11.52,100,March 2023,9.0,9.0,9.0,9.0,8.0,"Richly sweet-tart, fruit-toned. Concord grape, dark chocolate, star anise, sandalwood, pineapple saltwater taffy in aroma and cup. Sweetly tart structure with tart-savory acidity; full, creamy-smooth mouthfeel. Cocoa-toned Concord grape takes center stage in the finish, supported by star anise and dark chocolate.","Produced by Alejo Castro of Volcán Azul entirely of the Geisha variety of Arabica, and processed by the anaerobic washed method, in which the de-pulped coffee fruit is fermented with limited oxygen, in this case with the addition of wine yeasts, before washing and drying. Kafe Coffee Roastery is a specialty roaster based in Zhubei, Taiwan. Visit shopee.tw/zengkaochen for more information."
Ethiopia Yirgacheffe Adame G1 Natural,94,Caoban Coffee,Taiwan,['Taipei'],['south-central Ethiopia'],['Yirgacheffe growing region'],Light,63.0,79.0,18.15,226.8,March 2023,9.0,9.0,9.0,9.0,8.0,"Gently sweet-tart, floral-toned. Pomegranate, wisteria, pistachio, lime zest, fresh-cut oak in aroma and cup. Crisply sweet-tart structure with delicately bright acidity; satiny-smooth mouthfeel. The tart-leaning finish leads with notes of pomegranate and lime zest, with undertones of oak and pistachio.",Produced by members of the Adame Garbota Cooperative and processed by the natural method (dried in the whole fruit). Caoban Coffee is a specialty roaster and cafe based in Taipei. Visit www.facebook.com/CAOBANCOFFEE for more information.
Kenya Gichathaini,94,Temple Coffee,California,['Sacramento'],['Kenya'],"['Mathira West District', ' Nyeri growing region']",Light,64.0,82.0,25.0,340.19,February 2023,9.0,9.0,9.0,9.0,8.0,"Richly sweet-savory, spice-toned. Dried fig, pistachio, allspice, narcissus, salted caramel in aroma and cup. Vibrantly sweet-savory structure with juicy acidity; viscous, satiny mouthfeel. The resonant finish consolidates to notes of salted caramel and allspice.","Produced by smallholding members of the Gikanda Farmers Cooperative Society from trees of the SL28, SL34 and Ruiru 11 varieties of Arabica, and processed by the washed method at the Gichathaini Factory. Temple Coffee is a quality-focused retail and wholesale specialty roaster active in Sacramento, California since 2005. Committed to sourcing, roasting and brewing the finest coffees, Temple features selections from distinguished single estates and cooperatives around the world. Visit www.templecoffee.com or call 916-454-1282 for more information. "
Guatemala Retiro del Quisaya Natural Process,94,Durango Coffee Company,Colorado,['Durango'],['Guatemala'],"['San Martin Jilotepeque', ' Chimaltenango Department']",Medium-Light,59.0,78.0,18.95,340.19,February 2023,9.0,9.0,9.0,9.0,8.0,"Berry-driven, brightly sweet-tart. Berry melange, cocoa nib, amber, cedar, a hint of sassafras in aroma and cup. Complex, bittersweet structure with juicy acidity; very full, syrupy mouthfeel. The long, resonant finish centers around cocoa nib and raspberry notes.","Produced by Juan Luis Barrios Ortega of Finca Retiro del Quisaya from trees of the Bourbon, Typica and Pache varieties of Arabica, and processed by the natural method (dried in the whole fruit). Located in southwestern Colorado, Durango Coffee lays claim to a rich coffee history that dates to 1986. Its motto is “Tough Town, Great Coffee.” Visit www.durangocoffee.com or call 800-748-2275 for more information."
Ethiopia Sidama Karamo Anaerobic Natural,94,RamsHead Coffee Roasters,Montana,['Bozeman'],['south-central Ethiopia.'],['Sidamo growing region'],Medium-Light,62.0,79.0,35.0,340.19,February 2023,9.0,9.0,9.0,9.0,8.0,"Elegantly fruit-toned, lactic-leaning. Mulberry, pineapple yogurt, cocoa nib, hop flowers, sandalwood in aroma and cup. Bittersweet structure with bright, winy acidity; plush, syrupy mouthfeel. Crisp finish with notes of pineapple yogurt and sandalwood. ","Produced by smallholding farmers from local heirloom varieties long grown in the region, and processed by the Yonis family at the Gara Agena Washing Station by the anaerobic natural method, in which whole coffee fruit is fermented with limited oxygen before drying, also in the whole fruit. RamsHead Coffee Roasters is a family-owned company founded by Bozeman, Montana natives Caleb and Laura Walker that specializes in direct trade microlot coffees. For more information, visit www.ramsheadcoffee.com."
Colombia Geiner Montano,94,Temple Coffee,California,['Sacramento'],['Colombia'],['Huila Department'],Medium-Light,62.0,78.0,24.5,340.19,February 2023,9.0,9.0,9.0,9.0,8.0,"Deeply sweet, richly savory. Dark chocolate, apricot, lilac, almond, cedar in aroma and cup. Brightly sweet structure with juicy acidity; full, satiny-smooth mouthfeel. The sweet finish consolidates to notes of dark chocolate and almond butter.","Produced by Geiner Montano of Finca La Esperanza from trees of the Colombia and Castillo varieties of Arabica, and processed by the traditional washed method (skin and fruit flesh are removed before drying). Temple Coffee is a quality-focused retail and wholesale specialty roaster active in Sacramento, California since 2005. Committed to sourcing, roasting and brewing the finest coffees, Temple features coffee from distinguished single estates and cooperatives around the world. Visit www.templecoffee.com or call 916-454-1282 for more information. "
Kabiufa Papua New Guinea,94,JBC Coffee Roasters,Wisconsin,['Madison'],['Papua New Guinea'],"['Kabiufa', ' Eastern Highlands']",Medium-Light,58.0,77.0,20.0,340.19,February 2023,9.0,9.0,9.0,8.0,9.0,"Bright, juicy-sweet. Dark chocolate, goji berry, fine musk, almond butter, cedar in aroma and small cup. Creamy-smooth mouthfeel; resonant finish consolidates to notes of goji berry and almond. In three parts milk, dark chocolate notes are amplified, while dried berry notes provide sweet-tart ballast.","Evaluated as espresso. Produced by smallholding farmers, from trees of the Arusha, Bourbon and Typica varieties of Arabica, and processed by the traditional washed method (fruit pulp and skin removed before drying). JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information "
Ka‘u Red Catuai Peaberry,94,Paradise Roasters,Hawaii,['Hilo'],['Hawaii'],['Ka‘u growing region'],Medium-Light,59.0,74.0,30.0,113.4,February 2023,9.0,9.0,9.0,9.0,8.0,"Cocoa-toned, delicately sweet-tart. Cocoa nib, almond nougat, Cara Cara orange, magnolia, lemon thyme in aroma and small cup. Gently bright structure with juicy-sweet acidity; full, vibrant mouthfeel. Cocoa- and citrus-toned finish.","Produced at Miranda Farms entirely of the Red Catuai variety of Arabica, and processed by the traditional washed method. Paradise prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit www.paradiseroasters.com or call 763-433-0626 for more information."
